packet_id,send_time_s,recv_time_s,latency_s,expected_id,lost
343,74.832,11.291737794876099,-63.540262205123895,343,False
344,75.032,11.391937732696533,-63.64006226730346,344,False
345,75.232,11.491805791854858,-63.74019420814514,345,False
346,75.432,11.591681003570557,-63.840318996429446,346,False
347,75.632,11.692626953125,-63.939373046875005,347,False
348,75.832,11.79171371459961,-64.04028628540038,348,False
349,76.032,11.894822835922241,-64.13717716407776,349,False
350,76.232,11.997860670089722,-64.23413932991028,350,False
351,76.432,12.102056980133057,-64.32994301986695,351,False
352,76.632,12.191987991333008,-64.440012008667,352,False
353,76.832,12.309048652648926,-64.52295134735107,353,False
354,77.032,12.391876697540283,-64.64012330245971,354,False
355,77.232,12.491752862930298,-64.7402471370697,355,False
356,77.432,12.61329984664917,-64.81870015335083,356,False
357,77.632,12.691817998886108,-64.9401820011139,357,False
358,77.832,12.791702032089233,-65.04029796791076,358,False
359,78.032,12.896071910858154,-65.13592808914184,359,False
360,78.232,12.992012739181519,-65.23998726081848,360,False
361,78.432,13.091863632202148,-65.34013636779785,361,False
362,78.632,13.191813707351685,-65.44018629264832,362,False
363,78.832,13.291751861572266,-65.54024813842773,363,False
364,79.032,13.391780853271484,-65.64021914672851,364,False
365,79.232,13.492249727249146,-65.73975027275085,365,False
366,79.432,13.591826915740967,-65.84017308425904,366,False
367,79.632,13.691759824752808,-65.9402401752472,367,False
368,79.832,13.79175877571106,-66.04024122428893,368,False
369,80.032,13.89159870147705,-66.14040129852295,369,False
370,80.232,13.994146823883057,-66.23785317611694,370,False
371,80.432,14.093329906463623,-66.33867009353638,371,False
372,80.632,14.191383600234985,-66.44061639976502,372,False
373,80.832,14.291855812072754,-66.54014418792724,373,False
374,81.032,14.39388370513916,-66.63811629486084,374,False
375,81.232,14.494537830352783,-66.73746216964722,375,False
377,81.632,15.007277727127075,-66.62472227287293,376,True
378,81.832,15.007425785064697,-66.8245742149353,377,True
379,82.032,15.007473945617676,-67.02452605438232,378,True
381,82.432,15.392411708831787,-67.03958829116822,379,True
382,82.632,15.392552852630615,-67.23944714736939,380,True
383,82.832,15.39257287979126,-67.43942712020873,381,True
384,83.032,15.394758939743042,-67.63724106025695,382,True
385,83.232,15.492811679840088,-67.73918832015991,383,True
386,83.432,15.591352701187134,-67.84064729881287,384,True
387,83.632,15.698030710220337,-67.93396928977967,385,True
388,83.832,15.798543691635132,-68.03345630836486,386,True
389,84.032,15.891548871994019,-68.14045112800598,387,True
390,84.232,16.00521683692932,-68.22678316307068,388,True
391,84.432,16.094029664993286,-68.33797033500672,389,True
392,84.632,16.206333875656128,-68.42566612434388,390,True
393,84.832,16.29890775680542,-68.53309224319457,391,True
394,85.032,16.401444673538208,-68.63055532646179,392,True
395,85.232,16.50440764427185,-68.72759235572815,393,True
398,85.832,17.098252773284912,-68.73374722671508,394,True
399,86.032,17.2024507522583,-68.8295492477417,395,True
400,86.232,17.214518785476685,-69.01748121452331,396,True
0,42.368,44.491485834121704,2.123485834121702,397,True
1,42.568,44.49406170845032,1.9260617084503195,398,True
2,42.768,44.49453163146973,1.7265316314697259,399,True
7,43.768,44.5755717754364,0.8075717754364007,400,True
8,43.968,44.67752385139465,0.7095238513946498,401,True
9,44.168,44.77519679069519,0.6071967906951912,402,True
10,44.368,44.87552571296692,0.5075257129669168,403,True
11,44.568,44.97489881515503,0.40689881515503146,404,True
12,44.768,45.07558298110962,0.30758298110961846,405,True
13,44.968,45.17477083206177,0.20677083206176405,406,True
14,45.168,45.28047490119934,0.11247490119934156,407,True
15,45.368,45.37480664253235,0.00680664253234653,408,True
16,45.568,45.4839186668396,-0.08408133316039823,409,True
17,45.768,45.57481288909912,-0.1931871109008796,410,True
18,45.968,45.67496681213379,-0.29303318786621446,411,True
19,46.168,45.840826749801636,-0.3271732501983635,412,True
20,46.368,45.87490272521973,-0.49309727478027554,413,True
21,46.568,45.97497773170471,-0.5930222682952859,414,True
22,46.768,46.11634182929993,-0.6516581707000739,415,True
23,46.968,46.1749529838562,-0.7930470161438024,416,True
24,47.168,46.27578377723694,-0.8922162227630608,417,True
25,47.368,46.374454736709595,-0.9935452632904074,418,True
26,47.568,46.56468677520752,-1.0033132247924783,419,True
27,47.768,46.57519268989563,-1.1928073101043708,420,True
28,47.968,46.67453074455261,-1.2934692554473912,421,True
29,48.168,46.77547597885132,-1.392524021148681,422,True
